id,cords,weight
717429,55.604483;37.489526,5.03
717430,55.728748;37.969308,6.43
717431,55.827403;37.517671,4.73
717432,55.899179;38.017934,20.59
717433,55.8231;37.828569,4.14
717434,54.891328;38.072452,11.01
717435,55.899179;38.017934,3.93
717436,55.687259;37.58809,4.23
717437,54.919626;37.433274,5.90
717438,55.749243;37.80126,6.59
717439,55.684143;37.751143,7.59
717440,55.853001;37.569908,21.55
717441,55.746218;37.97097,10.65
717442,55.65079;37.587254,5.50
717443,55.901566;37.265729,12.31
717444,55.84583;37.559721,3.08
717445,54.917324;37.425845,8.16
717446,55.755773;37.614608,7.18
717447,55.892658;36.699216,7.14
717448,55.703048;37.918409,25.06
717449,55.899179;38.017934,4.36
717450,55.677438;37.664842,5.13
717451,55.422518;38.550976,9.52
717452,55.848958;37.354061,10.03
717453,54.935555;37.403701,7.88
717454,55.65434;37.765749,12.59
717455,55.803828;37.301258,5.01
717456,55.801835;37.532098,6.66
717457,55.740162;37.858438,9.39
717458,55.973607;37.145247,14.82
717459,54.888589;38.072695,23.75
717460,55.653736;37.61662,8.91
717461,55.426477;37.501061,8.48
717462,56.229261;35.640839,12.63
717463,55.721336;37.903138,22.47
717464,55.852521;37.351914,2.18
717465,55.805498;37.414526,7.08
717466,55.740162;37.858438,6.20
717467,55.667086;37.496767,7.95
717468,55.658835;37.741908,6.31
717469,55.531662;35.609128,11.96
717470,55.899179;38.017934,2.44
717471,55.414675;38.659879,6.60
717472,55.810344;37.787111,8.22
717473,55.684473;37.685853,6.24
717474,55.165045;37.4372,2.83
717475,55.164454;37.432681,2.83
717476,55.803848;37.606083,14.59
717477,55.897801;37.588386,5.13
717478,55.679844;37.666504,6.91
717479,55.84583;37.559721,5.39
717480,55.610931;37.592231,9.39
717481,55.607428;37.589689,9.39
717482,55.84583;37.559721,9.39
717483,55.656712;37.606182,9.39
717484,55.699812;37.914232,6.48
717485,54.917324;37.425845,8.86
717486,55.426477;37.501061,25.28
717487,55.822493;37.823358,3.82
717488,55.821037;37.367517,19.18
717489,55.879581;37.370401,19.45
717490,56.178503;37.002172,10.56
717491,55.426477;37.501061,9.65
717492,55.758772;37.803506,6.39
717493,55.650368;37.405705,7.65
717494,55.609955;37.716971,14.00
717495,55.677448;37.578648,6.86
717496,55.548492;37.323706,15.40
717497,55.605597;37.486445,14.57
717498,55.692597;37.606918,7.81
717499,55.84583;37.559721,5.96
717500,55.929389;38.004171,18.50
717501,55.919801;37.469665,14.34
717502,55.756726;37.617258,8.13
717503,55.408297;37.571938,17.18
717504,55.899179;38.017934,6.47
717505,55.66275;37.7471,6.89
717506,55.913172;36.823138,11.90
717507,55.69902;37.914205,48.03
717508,55.426477;37.501061,6.77
717509,55.859696;37.121047,6.66
717510,55.246949;37.627292,21.99
717511,55.995634;36.47417,10.03
717512,55.820025;37.576546,7.10
717513,55.814426;37.770322,11.08
717514,55.445676;37.626026,65.91
717515,54.927615;37.404097,31.95
717516,55.803337;37.402192,17.01
717517,55.988268;36.461755,10.37
717518,55.820683;37.525872,7.67
717519,55.899179;38.017934,6.96
717520,55.74824;37.816396,18.63
717521,55.814017;37.084557,13.94
717522,55.995634;36.47417,17.25
717523,55.665157;37.770771,9.32
717524,55.870673;37.556038,9.24
717525,55.706883;37.592096,21.41
717526,55.705488;37.920736,8.22
717527,55.431192;37.497279,10.08
717528,55.897801;37.588386,7.28
717529,55.762399;37.619117,4.40
717530,55.606324;37.741827,21.96
717531,55.899179;38.017934,7.46
717532,55.647945;37.578208,10.23
717533,55.414179;37.528666,10.54
717534,55.816642;37.498617,18.28
717535,55.609675;37.720106,8.21
717536,55.613677;37.743552,47.39
717537,55.677438;37.664842,13.28
717538,55.831292;37.241987,23.08
717539,55.841766;37.447755,40.25
717540,55.656712;37.606182,11.09
717541,55.744206;37.801529,12.30
717542,55.859696;37.121047,9.06
717543,55.823085;37.971311,46.16
717544,55.819014;37.347135,5.53
717545,55.655976;37.38569,11.86
717546,55.548492;37.323706,10.06
717547,55.842721;37.542491,11.77
717548,55.747155;37.862139,14.80
717549,55.823085;37.971311,25.52
717550,55.604829;37.759039,9.35
717551,55.749501;37.824607,8.55
717552,55.473357;38.410955,31.87
717553,55.751624;38.012274,7.32
717554,55.836155;37.316978,18.62
717555,55.633887;37.442769,10.64
717556,55.597546;37.347647,22.83
717557,55.671498;37.553792,2.01
717558,55.854158;37.355534,20.62
717559,55.649825;37.770043,47.84
717560,56.614069;37.627687,34.89
717561,55.609675;37.720106,14.55
717562,55.793024;37.627777,31.03
717563,55.683894;37.853066,22.69
717564,55.704996;37.922335,25.02
717565,55.456867;38.442495,13.69
717566,55.842433;37.548249,16.54
717567,55.749243;37.80126,17.09
717568,55.651658;37.347377,81.01
717569,55.565712;37.444126,81.01
717570,55.889043;36.026584,32.75
717571,55.747155;37.862139,10.61
717572,55.647534;37.595555,10.61
717573,55.87094;38.200615,10.26
717574,55.862762;37.619513,17.64
717575,55.80656;38.04844,42.38
717576,55.804911;37.392895,16.11
717577,55.827403;37.517671,10.01
717578,55.649124;37.343263,15.94
717579,55.752708;37.787686,26.28
717580,56.006059;37.450576,39.85
717581,55.649774;37.739617,23.20
717582,55.426477;37.501061,21.33
717583,55.646731;37.719342,13.07
717584,55.828455;37.809255,59.17
717585,55.154162;37.46953,24.35
717586,55.756726;37.617258,12.78
717587,56.018298;37.430345,32.77
717588,55.820683;37.525872,14.33
717589,55.744024;37.868454,30.37
717590,54.917324;37.425845,6.89
717591,55.634156;37.589617,15.87
717592,55.600445;37.607269,11.04
717593,55.633887;37.442769,17.10
717594,55.671498;37.553792,13.71
717595,55.647945;37.578208,20.60
717596,55.819014;37.347135,2.74
717597,56.178503;37.002172,12.75
717598,55.620957;37.474516,19.96
717599,55.631915;37.801305,51.36
717600,55.624083;37.604825,28.85
717601,55.652959;37.564715,58.65
717602,55.810344;37.787111,18.09
717603,55.394827;37.810126,16.47
717604,55.650556;37.342706,45.45
717605,56.066072;37.071064,19.49
717606,55.735226;37.829961,25.90
717607,55.865308;37.125053,17.44
717608,55.321748;38.673102,25.18
717609,55.896297;37.30424,18.09
717610,55.99139;36.484994,14.82
717611,55.84583;37.559721,28.73
717612,55.652923;37.618372,27.09
717613,55.456867;38.442495,19.05
717614,56.336309;37.54913,16.91
717615,55.899179;38.017934,9.10
717616,55.69902;37.914205,41.82
717617,55.852531;37.350836,24.08
717618,55.843611;37.356863,14.94
717619,55.746172;37.864429,32.36
717620,55.766516;37.720115,23.37
717621,55.702221;37.784075,16.61
717622,55.920058;36.85581,17.18
717623,55.8611;37.585547,31.93
717624,55.912844;36.863553,18.70
717625,54.917324;37.425845,6.68
717626,55.66275;37.7471,18.47
717627,55.826159;37.956884,37.79
717628,55.43085;37.498644,26.06
717629,55.791597;37.489338,58.32
717630,55.912844;36.863553,21.34
717631,55.548492;37.323706,17.53
717632,55.899179;38.017934,176.90
717633,55.899179;38.017934,176.90
717634,55.899179;38.017934,176.90
717635,55.870673;37.556038,26.96
717636,55.812317;37.589248,31.69
717637,55.909055;38.056094,17.87
717638,55.652989;37.396416,22.87
717639,55.812317;37.589248,32.95
717640,55.61116;37.716414,32.56
717641,56.21739;37.661168,23.23
717642,55.785989;37.246164,21.05
717643,55.643983;37.343532,30.17
717644,55.752156;37.588548,19.36
717645,55.755773;37.614608,15.92
717646,55.640086;37.606514,26.53
717647,55.53078;37.444521,16.88
717648,55.649774;37.739617,55.71
717649,55.750606;38.012885,26.36
717650,55.762515;37.833096,27.92
717651,56.348063;37.519961,16.69
717652,55.797432;37.936977,36.99
717653,55.798277;37.624552,17.50
717654,55.897619;37.596013,27.98
717655,55.701886;37.788585,4.40
717656,55.834492;37.297458,30.06
717657,55.899179;38.017934,81.25
717658,55.809854;37.776341,16.63
717659,55.836984;37.574543,33.46
717660,55.870673;37.556038,17.42
717661,55.53078;37.444521,66.61
717662,55.897387;37.680176,21.51
717663,55.912844;36.863553,22.33
717664,55.749501;37.824607,40.14
717665,55.701115;37.762129,37.72
717666,55.899179;38.017934,43.95
717667,55.812509;37.366592,19.16
717668,55.647844;37.741782,34.39
717669,55.762399;37.619117,42.09
717670,55.665157;37.770771,26.02
717671,55.607428;37.589689,44.06
717672,55.665157;37.770771,30.42
717673,55.613;37.592968,34.95
717674,55.750743;37.814833,46.15
717675,56.331184;37.510412,38.43
717676,55.817148;37.311193,46.67
717677,55.897619;37.596013,24.63
717678,55.250079;37.496821,71.85
717679,55.668386;37.630643,27.25
717680,55.834785;37.271227,33.97
717681,55.814361;37.085662,23.66
717682,55.84443;37.362855,63.19
717683,55.647844;37.741782,87.61
717684,55.215734;37.937391,55.22
717685,55.615924;37.549327,23.93
717686,55.701886;37.788585,31.74
717687,55.897801;37.588386,34.33
717688,55.853001;37.569908,23.18
717689,55.429;37.5526,40.56
717690,55.637393;37.600388,32.49
717691,55.922056;36.874639,32.43
717692,55.857947;37.564805,28.37
717693,55.705072;37.763656,50.59
717694,55.946305;36.838499,9.86
717695,55.646589;37.71548,91.29
717696,55.540776;37.495357,73.14
717697,55.656712;37.606182,41.99
717698,55.604829;37.759039,23.82
717699,55.749572;37.165091,10.13
717700,55.892658;36.699216,123.49
717701,54.888972;38.079118,40.90
717702,55.817092;37.50036,50.57
717703,55.969391;37.450674,28.75
717704,55.648702;37.407016,37.43
717705,55.839173;37.530148,20.17
717706,55.840098;37.300153,27.75
717707,55.687259;37.58809,33.08
717708,55.8611;37.585547,25.99
717709,55.794452;37.718238,34.44
717710,55.754329;37.863127,27.60
717711,55.689258;37.575603,42.23
717712,55.820683;37.525872,38.39
717713,55.602128;37.351967,20.33
717714,55.816642;37.498617,25.35
717715,55.309427;38.650006,37.34
717716,55.798277;37.624552,26.28
717717,55.649637;37.407403,27.09
717718,55.417061;38.278975,35.40
717719,55.8611;37.585547,52.93
717720,55.426477;37.501061,31.02
717721,55.596793;37.343056,29.21
717722,55.424306;38.553527,27.00
717723,55.897387;37.680176,32.08
717724,55.636514;37.260429,38.97
717725,55.749157;37.455615,51.33
717726,55.596793;37.343056,30.83
717727,55.864833;37.12817,26.59
717728,55.816976;37.340056,53.38
717729,55.983751;36.796683,47.69
717730,55.40545;38.657175,36.88
717731,55.752485;37.623196,36.65
717732,55.721336;37.903138,107.63
717733,54.922943;37.431379,34.60
717734,55.793343;37.492509,45.55
717735,55.806899;37.766351,38.94
717736,55.822903;37.338556,39.80
717737,56.178503;37.002172,37.34
717738,55.426477;37.501061,103.30
717739,55.685411;37.568587,55.28
717740,55.600445;37.607269,262.99
717741,55.662364;37.779098,73.09
717742,55.840801;37.171792,49.65
717743,55.672037;37.651672,37.35
717744,55.983751;36.796683,124.68
717745,55.819965;37.580238,55.06
717746,55.63034;37.620618,26.62
717747,55.355602;37.184638,42.55
717748,55.961853;36.227645,70.96
717749,55.647844;37.741782,47.38
717750,55.84583;37.559721,44.39
717751,55.648316;37.739501,41.48
717752,55.74263;37.709515,53.24
717753,55.811386;37.600262,50.12
717754,55.615924;37.549327,167.66
717755,55.41285;38.657552,39.56
717756,55.74263;37.709515,44.20
717757,55.839613;37.183174,43.97
717758,55.841382;37.144124,43.97
717759,55.667538;37.786563,98.32
717760,55.805832;37.750936,35.61
